Specimen No;genus;species;coloniality;growth form ;corallite integration;mean corallite diameter [mm];colony height [mm];colony width [mm];number of incisions;length of incisions [mm] top;length of incisions [mm] bottom;width of incisons [mm] top ;width of incisions [mm] bottom;distance to next incision [mm];incisions on top ;incisions on bottom;bioerosion;
KCo5-1;Dimorpharaea;stellans;;umbrella-shaped;thamnasteroid;4.2;25.12;64.48;1;0;7.44;0;1.31;12.16;0;1;;
KCo5-2;Thamnasteria;nicoleti;colony;flat;thamnasteroid;5.5;14.64;38.61;0;;;;;;;;;
KCo5-3;Monilivaltia;frustriformis;solitary;turbinate;solitary;53.67;46.03;53.67;0;;;;;;;;20;serpulids
KCo5-4;Kobya;crassolamellosa;colony;umbrella-shaped;thamnasteroid;6.31;23.51;35.49;0;;;;;;;;;
KCo5-5;Thamnasteria;nicoleti;colony;flat;thamnasteroid;3.53;13;28.82;0;;;;;;;;;
KCo5-6;Monilivaltia;frustriformis;solitary;turbinate;solitary;37.55;37.21;37.55;0;;;;;;;;12;
KCo5-7;Collignonastraea ;jumarensis;colony;flat;thamnasteroid;5.51;10.32;40.04;0;;;;;;;;;
KCo5-8;Species;not described;colony;flat;plocoid;12.91;16.52;74.07;0;;;;;;;;;
KCo5-9;Dimorpharaea;stellans;colony;umbrella-shaped;thamnasteroid;2.21;20.32;34.66;26;;;;;;13;13;;
KCo5-9;Dimorpharaea;stellans;;umbrella-shaped;thamnasteroid;2.21;20.32;34.66;2;13.98;8.04;2.31;3.25;12.97;1;1;;
KCo5-9;Dimorpharaea;stellans;;umbrella-shaped;thamnasteroid;2.21;20.32;34.66;2;10.32;11.75;3.37;2.09;6.42;1;1;;
KCo5-9;Dimorpharaea;stellans;;umbrella-shaped;thamnasteroid;2.21;20.32;34.66;2;2.04;4.74;2.13;1.57;5.34;1;1;;
KCo5-9;Dimorpharaea;stellans;;umbrella-shaped;thamnasteroid;2.21;20.32;34.66;2;8.87;10.22;2.25;2.17;2.15;1;1;;
KCo5-9;Dimorpharaea;stellans;;umbrella-shaped;thamnasteroid;2.21;20.32;34.66;2;6.76;9.75;3.05;2.16;9.31;1;1;;
KCo5-9;Dimorpharaea;stellans;;umbrella-shaped;thamnasteroid;2.21;20.32;34.66;2;3.58;9.97;3.78;2.29;11.58;1;1;;
KCo5-9;Dimorpharaea;stellans;;umbrella-shaped;thamnasteroid;2.21;20.32;34.66;2;28.04;20.52;2.32;2.26;8.97;1;1;;
KCo5-9;Dimorpharaea;stellans;;umbrella-shaped;thamnasteroid;2.21;20.32;34.66;2;15.74;17.96;2.62;1.93;12.21;1;1;;
KCo5-9;Dimorpharaea;stellans;;umbrella-shaped;thamnasteroid;2.21;20.32;34.66;2;4.8;9.79;2.93;2.24;6.94;1;1;;
KCo5-9;Dimorpharaea;stellans;;umbrella-shaped;thamnasteroid;2.21;20.32;34.66;2;17.9;13.17;2.44;2.56;6.1;1;1;;
KCo5-9;Dimorpharaea;stellans;;umbrella-shaped;thamnasteroid;2.21;20.32;34.66;2;12.31;9.49;3.14;2.65;8.12;1;1;;
KCo5-9;Dimorpharaea;stellans;;umbrella-shaped;thamnasteroid;2.21;20.32;34.66;2;5.24;8.42;4.02;3.3;8.68;1;1;;
KCo5-9;Dimorpharaea;stellans;;umbrella-shaped;thamnasteroid;2.21;20.32;34.66;2;3.94;9.54;3.67;2.84;6.76;1;1;;
KCo5-10;Collignonastraea ;jumarensis;colony;pedunculate;thamnasteroid;6.12;13.41;29.53;0;;;;;;;;;
KCo5-11;?;?;colony;nodular;plocoid;2.47;39.19;43.18;0;;;;;;;;28;bivalve
KCo6-1;Craterastraea;crateriformis;colony;flat;thamnasteroid;2.56;11.3;26.15;0;;;;;;;;;serpulids
KCo6-2;Kobya;lenticulata;colony;wedge-shaped;thamnasteroid;7.08;32.36;38.15;0;;;;;;;;;
KCo6-3;Stylina;kachensis;colony;umbrella-shaped;cerioid;3.37;14.57;30.15;0;;;;;;;;;
KCo8-1;Anabacia;acaulis;solitary;subturbinate;solitary;8.71;3.84;8.71;0;;;;;;;;;
KCo8-2;Anabacia;acaulis;solitary;?;solitary;5.02;1.69;5.02;0;;;;;;;;;
KCo8-3;Anabacia;acaulis;solitary;?;solitary;6.35;2.91;6.35;0;;;;;;;;;
